requirement_id,source_document,source_section,requirement_summary,implementation_artifact,test_artifact,evidence_artifact,status,deviation_id,notes
RFDS-001-DOC-001,RFDS-001 Platform Requirements v1.1,Required documentation topics,Required documentation topics,§33,,,NOT_RUN,,Specified in the plan; verification pending Gate 1
RFDS-001-DOC-002,RFDS-001 Platform Requirements v1.1,Documentation consistency,Documentation consistency,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-DOC-003,RFDS-001 Platform Requirements v1.1,Generated documentation validation,Generated documentation validation,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-DOC-004,RFDS-001 Platform Requirements v1.1,Link and version checks,Link and version checks,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-EX-001,RFDS-001 Platform Requirements v1.1,Example count,Example count,§31,,,NOT_RUN,,Specified in the plan; verification pending Gate 1
RFDS-001-EX-002,RFDS-001 Platform Requirements v1.1,Example quality,Example quality,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-EX-003,RFDS-001 Platform Requirements v1.1,Example manifest,Example manifest,§37,,,NOT_RUN,,Specified in the plan; verification pending Gate 1
RFDS-001-EX-004,RFDS-001 Platform Requirements v1.1,Public API use,Public API use,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-EX-005,RFDS-001 Platform Requirements v1.1,Example validation,Example validation,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-LIFE-001,RFDS-001 Platform Requirements v1.1,Phase-and-gate lifecycle,Phase-and-gate lifecycle,§38,,,NOT_RUN,,Specified in the plan; verification pending Gate 1
RFDS-001-LIFE-002,RFDS-001 Platform Requirements v1.1,Gate review dimensions,Gate review dimensions,"§38, §36",,,NOT_RUN,,Specified in the plan; verification pending Gate 1
RFDS-001-REV-001,RFDS-001 Platform Requirements v1.1,Mandatory review dimensions,Mandatory review dimensions,§36,,,NOT_RUN,,Specified in the plan; verification pending Gate 1
RFDS-001-REV-002,RFDS-001 Platform Requirements v1.1,Finding severity,Finding severity,§36,,,NOT_RUN,,Specified in the plan; verification pending Gate 1
RFDS-001-REV-003,RFDS-001 Platform Requirements v1.1,Finding disposition,Finding disposition,§36,,,NOT_RUN,,Specified in the plan; verification pending Gate 1
RFDS-001-DEV-001,RFDS-001 Platform Requirements v1.1,Formal deviation schema,Formal deviation schema,,,,NOT_RUN,,Gap A1 recorded in RFDS001_AUDIT_v1.9.md; addressed in v1.10
RFDS-001-DEV-002,RFDS-001 Platform Requirements v1.1,Deviation constraints,Deviation constraints,,,,NOT_RUN,,Gap A1 recorded in RFDS001_AUDIT_v1.9.md; addressed in v1.10
RFDS-001-VER-001,RFDS-001 Platform Requirements v1.1,Version separation,Version separation,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-VER-002,RFDS-001 Platform Requirements v1.1,Single release-version authority,Single release-version authority,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-VER-003,RFDS-001 Platform Requirements v1.1,Change categories,Change categories,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-VER-004,RFDS-001 Platform Requirements v1.1,Breaking-change control,Breaking-change control,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-VER-005,RFDS-001 Platform Requirements v1.1,Reproducible release relationship,Reproducible release relationship,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-COMP-001,RFDS-001 Platform Requirements v1.1,Compatibility surface,Compatibility surface,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-COMP-002,RFDS-001 Platform Requirements v1.1,Compatibility report,Compatibility report,§37,,,NOT_RUN,,Specified in the plan; verification pending Gate 1
RFDS-001-SEC-001,RFDS-001 Platform Requirements v1.1,Secure project handling,Secure project handling,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-SEC-002,RFDS-001 Platform Requirements v1.1,Dependency evidence,Dependency evidence,,,,NOT_RUN,,Gap A5 recorded in RFDS001_AUDIT_v1.9.md; addressed in v1.10
RFDS-001-SEC-003,RFDS-001 Platform Requirements v1.1,Binary provenance,Binary provenance,,,,NOT_RUN,,Gap A5 recorded in RFDS001_AUDIT_v1.9.md; addressed in v1.10
RFDS-001-REL-001,RFDS-001 Platform Requirements v1.1,Failure behaviour,Failure behaviour,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-REL-002,RFDS-001 Platform Requirements v1.1,Recovery semantics,Recovery semantics,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-PERF-001,RFDS-001 Platform Requirements v1.1,Device-specific performance contract,Device-specific performance contract,,,,NOT_RUN,,Gap A2 recorded in RFDS001_AUDIT_v1.9.md; addressed in v1.10
RFDS-001-GH-001,RFDS-001 Platform Requirements v1.1,Repository completeness,Repository completeness,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-GH-002,RFDS-001 Platform Requirements v1.1,Published documentation revision,Published documentation revision,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-ACC-001,RFDS-001 Platform Requirements v1.1,P1 production acceptance,P1 production acceptance,,,,NOT_RUN,,Gap A3 recorded in RFDS001_AUDIT_v1.9.md; addressed in v1.10
RFDS-001-ACC-002,RFDS-001 Platform Requirements v1.1,B1 bench acceptance,B1 bench acceptance,,,,NOT_APPLICABLE,,"B1 bench acceptance; applies to a bench release including this driver, not to the driver alone (see §26)."
RFDS-001-FAIL-001,RFDS-001 Platform Requirements v1.1,Platform review failure,Platform review failure,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
RFDS-001-DOD-001,RFDS-001 Platform Requirements v1.1,Driver completion,Driver completion,,,,NOT_RUN,,Specified or partially specified; requirement not yet individually verified
